country,year,nitrous_oxide,agricultural_land,greenhouse_gas_emissions,population_growth,GDP,renewable_electricity,total_population,forest_area,alternative_energy,expenses
French Polynesia,2014,,,,,,,,,,
French Polynesia,2013,,,,,,,,,,
French Polynesia,2012,,,,,,,,,,
French Polynesia,2011,,,,,,,,,,
French Polynesia,2010,,,,,,,,,,
French Polynesia,2009,,,,,,,,,,
French Polynesia,2008,,,,,,,,,,
French Polynesia,2007,,,,,,,,,,
French Polynesia,2006,,,,,,,,,,
French Polynesia,2005,,,,,,,,,,
French Polynesia,2004,,,,,,,,,,
French Polynesia,2003,,,,,,,,,,
French Polynesia,2002,,,,,,,,,,
French Polynesia,2001,,,,,,,,,,
French Polynesia,2000,,,,,,,,,,
French Polynesia,1999,,,,,,,,,,
French Polynesia,1998,,,,,,,,,,
French Polynesia,1997,,,,,,,,,,
French Polynesia,1996,,,,,,,,,,
French Polynesia,1995,,,,,,,,,,
French Polynesia,1994,,,,,,,,,,
French Polynesia,1993,,,,,,,,,,
French Polynesia,1992,,,,,,,,,,
French Polynesia,1991,,,,,,,,,,
French Polynesia,1990,,,,,,,,,,
Singapore,2020,10311.47979,,,,,,,,,
Singapore,2019,9929.268881,,,,,,,,,
Singapore,2018,9542.787774,,,,,,,,,
Singapore,2017,9171.036467,,,,,,,,,
Singapore,2016,8785.25076,,,,,,,,,
Singapore,2015,8391.850453,,,,,,,,,
Singapore,2014,8057.598928,,,,,,,,,
Singapore,2013,7728.696403,,,,,,,,,
Singapore,2012,7405.793877,,,,,,,,,
Singapore,2011,7084.376152,,,,,,,,,
Singapore,2010,6750.731227,,,,,,,,,
Singapore,2009,6972.410803,,,,,,,,,
Singapore,2008,7204.413579,,,,,,,,,
Singapore,2007,7435.148755,,,,,,,,,
Singapore,2006,7662.464132,,,,,,,,,
Singapore,2005,7894.371508,,,,,,,,,
Singapore,2004,8216.331766,,,,,,,,,
Singapore,2003,8536.441025,,,,,,,,,
Singapore,2002,8867.881483,,,,,,,,,
Singapore,2001,9191.812742,,,,,,,,,
Singapore,2000,9503.5194,,,,,,,,,
Singapore,1999,9220.864067,,,,,,,,,
Singapore,1998,9011.018933,,,,,,,,,
Singapore,1997,8807.391,,,,,,,,,
Singapore,1996,8605.391467,,,,,,,,,
Singapore,1995,8402.628533,,,,,,,,,
Singapore,1994,6759.4462,,,,,,,,,
Singapore,1993,5115.974385,,,,,,,,,
Singapore,1992,3475.73897,,,,,,,,,
Singapore,1991,1843.416755,,,,,,,,,
Singapore,1990,209.97114,,,,,,,,,
El Salvador,2020,1015.746685,,,,,,,,,
El Salvador,2019,932.473244,,,,,,,,,
El Salvador,2018,1120.562403,,,,,,,,,
El Salvador,2017,1073.403962,,,,,,,,,
El Salvador,2016,1169.50332,,,,,,,,,
El Salvador,2015,1251.995879,,,,,,,,,
El Salvador,2014,1207.064709,,,,,,,,,
El Salvador,2013,1279.452138,,,,,,,,,
El Salvador,2012,1418.115567,,,,,,,,,
El Salvador,2011,1445.588396,,,,,,,,,
El Salvador,2010,1489.630626,,,,,,,,,
El Salvador,2009,1480.54794,,,,,,,,,
El Salvador,2008,1569.995055,,,,,,,,,
El Salvador,2007,1491.93937,,,,,,,,,
El Salvador,2006,1393.612485,,,,,,,,,
El Salvador,2005,1444.7754,,,,,,,,,
El Salvador,2004,1300.531113,,,,,,,,,
El Salvador,2003,1209.539426,,,,,,,,,
El Salvador,2002,1204.570338,,,,,,,,,
El Salvador,2001,1241.203051,,,,,,,,,
El Salvador,2000,1163.666564,,,,,,,,,
El Salvador,1999,1285.576648,,,,,,,,,
El Salvador,1998,1221.990332,,,,,,,,,
El Salvador,1997,1364.818015,,,,,,,,,
El Salvador,1996,1340.950499,,,,,,,,,
El Salvador,1995,1150.811783,,,,,,,,,
El Salvador,1994,1234.096927,,,,,,,,,
El Salvador,1993,1269.286271,,,,,,,,,
El Salvador,1992,1297.985215,,,,,,,,,
El Salvador,1991,1278.301359,,,,,,,,,
El Salvador,1990,1243.832103,,,,,,,,,
Suriname,2020,178.090226,,,,,,,,,
Suriname,2019,186.922735,,,,,,,,,
Suriname,2018,173.067844,,,,,,,,,
Suriname,2017,216.429353,,,,,,,,,
Suriname,2016,211.920862,,,,,,,,,
Suriname,2015,179.839571,,,,,,,,,
Suriname,2014,195.015407,,,,,,,,,
Suriname,2013,167.213643,,,,,,,,,
Suriname,2012,184.63848,,,,,,,,,
Suriname,2011,192.216516,,,,,,,,,
Suriname,2010,194.522152,,,,,,,,,
Suriname,2009,184.828609,,,,,,,,,
Suriname,2008,207.927066,,,,,,,,,
Suriname,2007,150.799923,,,,,,,,,
Suriname,2006,166.37358,,,,,,,,,
Suriname,2005,137.145237,,,,,,,,,
Suriname,2004,165.77856,,,,,,,,,
Suriname,2003,140.539484,,,,,,,,,
Suriname,2002,134.061807,,,,,,,,,
Suriname,2001,153.988931,,,,,,,,,
Suriname,2000,156.365854,,,,,,,,,
Suriname,1999,147.79952,,,,,,,,,
Suriname,1998,146.361186,,,,,,,,,
Suriname,1997,152.432451,,,,,,,,,
Suriname,1996,150.457717,,,,,,,,,
Suriname,1995,134.268383,,,,,,,,,
Suriname,1994,132.737245,,,,,,,,,
Suriname,1993,132.845107,,,,,,,,,
Suriname,1992,136.618369,,,,,,,,,
Suriname,1991,123.614231,,,,,,,,,
Suriname,1990,125.331292,,,,,,,,,
Uruguay,2020,7967.681977,,,,,,,,,
Uruguay,2019,7949.108044,,,,,,,,,
Uruguay,2018,7797.08071,,,,,,,,,
Uruguay,2017,7986.984777,,,,,,,,,
Uruguay,2016,8077.054644,,,,,,,,,
Uruguay,2015,7855.74291,,,,,,,,,
Uruguay,2014,8199.530018,,,,,,,,,
Uruguay,2013,8242.671926,,,,,,,,,
Uruguay,2012,8272.820633,,,,,,,,,
Uruguay,2011,7825.028941,,,,,,,,,
Uruguay,2010,7917.335049,,,,,,,,,
Uruguay,2009,7930.402701,,,,,,,,,
Uruguay,2008,7925.192154,,,,,,,,,
Uruguay,2007,7791.534606,,,,,,,,,
Uruguay,2006,7917.140059,,,,,,,,,
Uruguay,2005,7491.055311,,,,,,,,,
Uruguay,2004,7448.856541,,,,,,,,,
Uruguay,2003,7104.06117,,,,,,,,,
Uruguay,2002,6703.4758,,,,,,,,,
Uruguay,2001,6718.6184,,,,,,,,,
Uruguay,2000,6585.598,,,,,,,,,
Uruguay,1999,6796.7446,,,,,,,,,
Uruguay,1998,6959.4094,,,,,,,,,
Uruguay,1997,7161.7646,,,,,,,,,
Uruguay,1996,7323.0904,,,,,,,,,
Uruguay,1995,7072.1968,,,,,,,,,
Uruguay,1994,7190.2068,,,,,,,,,
Uruguay,1993,7269.0264,,,,,,,,,
Uruguay,1992,7136.2428,,,,,,,,,
Uruguay,1991,6891.8972,,,,,,,,,
Uruguay,1990,6641.3254,,,,,,,,,
Aruba,2020,,11.1111111111111,,,,,,,,
Aruba,2019,,11.1111111111111,,,,,,,,
Aruba,2018,,11.1111111111111,,,,,,,,
Aruba,2017,,11.1111111111111,,,,,,,,
Aruba,2016,,11.1111111111111,,,,,,,,
Aruba,2015,,11.1111111111111,,,,,,,,
Aruba,2014,,11.1111111111111,,,,,,,,
Aruba,2013,,11.1111111111111,,,,,,,,
Aruba,2012,,11.1111111111111,,,,,,,,
Aruba,2011,,11.1111111111111,,,,,,,,
Aruba,2010,,11.1111111111111,,,,,,,,
Aruba,2009,,11.1111111111111,,,,,,,,
Aruba,2008,,11.1111111111111,,,,,,,,
Aruba,2007,,11.1111111111111,,,,,,,,
Aruba,2006,,11.1111111111111,,,,,,,,
Aruba,2005,,11.1111111111111,,,,,,,,
Aruba,2004,,11.1111111111111,,,,,,,,
Aruba,2003,,11.1111111111111,,,,,,,,
Aruba,2002,,11.1111111111111,,,,,,,,
Aruba,2001,,11.1111111111111,,,,,,,,
Aruba,2000,,11.1111111111111,,,,,,,,
Aruba,1999,,11.1111111111111,,,,,,,,
Aruba,1998,,11.1111111111111,,,,,,,,
Aruba,1997,,11.1111111111111,,,,,,,,
Aruba,1996,,11.1111111111111,,,,,,,,
Aruba,1995,,11.1111111111111,,,,,,,,
Aruba,1994,,11.1111111111111,,,,,,,,
Aruba,1993,,11.1111111111111,,,,,,,,
Aruba,1992,,11.1111111111111,,,,,,,,
Aruba,1991,,11.1111111111111,,,,,,,,
Aruba,1990,,11.1111111111111,,,,,,,,
Bahrain,2020,,10.3184713375796,,,,,,,,
Bahrain,2019,,10.3846153846154,,,,,,,,
Bahrain,2018,,10.4113110539846,,,,,,,,
Bahrain,2017,,10.3974358974359,,,,,,,,
Bahrain,2016,,10.5519897304236,,,,,,,,
Bahrain,2015,,10.694087403599,,,,,,,,
Bahrain,2014,,10.9338521400778,,,,,,,,
Bahrain,2013,,11.0779220779221,,,,,,,,
Bahrain,2012,,11.2207792207792,,,,,,,,
Bahrain,2011,,11.3950456323338,,,,,,,,
Bahrain,2010,,11.6141732283465,,,,,,,,
Bahrain,2009,,11.7763157894737,,,,,,,,
Bahrain,2008,,11.9210526315789,,,,,,,,
Bahrain,2007,,12.2133333333333,,,,,,,,
Bahrain,2006,,12.527027027027,,,,,,,,
Bahrain,2005,,12.6621621621622,,,,,,,,
Bahrain,2004,,12.986301369863,,,,,,,,
Bahrain,2003,,13.3055555555556,,,,,,,,
Bahrain,2002,,13.6478873239437,,,,,,,,
Bahrain,2001,,13.7887323943662,,,,,,,,
Bahrain,2000,,13.943661971831,,,,,,,,
Bahrain,1999,,14.0845070422535,,,,,,,,
Bahrain,1998,,14.0845070422535,,,,,,,,
Bahrain,1997,,14.0845070422535,,,,,,,,
Bahrain,1996,,14.0845070422535,,,,,,,,
Bahrain,1995,,14.0845070422535,,,,,,,,
Bahrain,1994,,14.0845070422535,,,,,,,,
Bahrain,1993,,14.0845070422535,,,,,,,,
Bahrain,1992,,14.0845070422535,,,,,,,,
Bahrain,1991,,14.4927536231884,,,,,,,,
Bahrain,1990,,14.4927536231884,,,,,,,,
Costa Rica,2020,,34.9784567175872,,,,,,,,
Costa Rica,2019,,34.7826086956522,,,,,,,,
Costa Rica,2018,,34.9099099099099,,,,,,,,
Costa Rica,2017,,34.8805327066197,,,,,,,,
Costa Rica,2016,,34.8021934978457,,,,,,,,
Costa Rica,2015,,35.0861731296514,,,,,,,,
Costa Rica,2014,,34.9588719153937,,,,,,,,
Costa Rica,2013,,35.2722287504896,,,,,,,,
Costa Rica,2012,,35.4876615746181,,,,,,,,
Costa Rica,2011,,35.6247551899726,,,,,,,,
Costa Rica,2010,,35.6247551899726,,,,,,,,
Costa Rica,2009,,35.5660007833921,,,,,,,,
Costa Rica,2008,,35.1155503329416,,,,,,,,
Costa Rica,2007,,35.2526439482961,,,,,,,,
Costa Rica,2006,,35.5464159811986,,,,,,,,
Costa Rica,2005,,35.3505679592636,,,,,,,,
Costa Rica,2004,,35.6835095965531,,,,,,,,
Costa Rica,2003,,35.8206032119076,,,,,,,,
Costa Rica,2002,,35.7618488053271,,,,,,,,
Costa Rica,2001,,35.8989424206815,,,,,,,,
Costa Rica,2000,,36.036036036036,,,,,,,,
Costa Rica,1999,,36.9761065413239,,,,,,,,
Costa Rica,1998,,37.5048962005484,,,,,,,,
Costa Rica,1997,,38.2491186839013,,,,,,,,
Costa Rica,1996,,39.0716803760282,,,,,,,,
Costa Rica,1995,,40.1096748922836,,,,,,,,
Costa Rica,1994,,41.030160595378,,,,,,,,
Costa Rica,1993,,41.382687034861,,,,,,,,
Costa Rica,1992,,42.3031727379554,,,,,,,,
Costa Rica,1991,,43.1574226400313,,,,,,,,
Costa Rica,1990,,43.0591461026244,,,,,,,,
Eritrea,2020,,62.7226371689837,,,,,,,,
Eritrea,2019,,62.7020628070177,,,,,,,,
Eritrea,2018,,62.7035294042634,,,,,,,,
Eritrea,2017,,62.70688595366,,,,,,,,
Eritrea,2016,,62.7036614635264,,,,,,,,
Eritrea,2015,,62.6978016748456,,,,,,,,
Eritrea,2014,,62.7250437544772,,,,,,,,
Eritrea,2013,,62.7182592530622,,,,,,,,
Eritrea,2012,,62.701247715187,,,,,,,,
Eritrea,2011,,62.6976908693159,,,,,,,,
Eritrea,2010,,62.7100610487235,,,,,,,,
Eritrea,2009,,62.7077358945754,,,,,,,,
Eritrea,2008,,62.5487918988311,,,,,,,,
Eritrea,2007,,62.5616538406188,,,,,,,,
Eritrea,2006,,62.5764277224781,,,,,,,,
Eritrea,2005,,62.1522804243469,,,,,,,,
Eritrea,2004,,61.9923728717243,,,,,,,,
Eritrea,2003,,74.9207920792079,,,,,,,,
Eritrea,2002,,74.5742574257426,,,,,,,,
Eritrea,2001,,74.5742574257426,,,,,,,,
Eritrea,2000,,74.5544554455445,,,,,,,,
Eritrea,1999,,73.9306930693069,,,,,,,,
Eritrea,1998,,73.9306930693069,,,,,,,,
Eritrea,1997,,72.8712871287129,,,,,,,,
Eritrea,1996,,72.6534653465346,,,,,,,,
Eritrea,1995,,73.3366336633663,,,,,,,,
Eritrea,1994,,73.3267326732673,,,,,,,,
Eritrea,1993,,73.2673267326733,,,,,,,,
Eritrea,1992,,,,,,,,,,
Eritrea,1991,,,,,,,,,,
Eritrea,1990,,,,,,,,,,
Faroe Islands,2020,,70.3294289897511,,,,,,,,
Faroe Islands,2019,,69.0078796561605,,,,,,,,
Faroe Islands,2018,,69.0078796561605,,,,,,,,
Faroe Islands,2017,,69.0186246418338,,,,,,,,
Faroe Islands,2016,,69.0186246418338,,,,,,,,
Faroe Islands,2015,,69.067335243553,,,,,,,,
Faroe Islands,2014,,69.067335243553,,,,,,,,
Faroe Islands,2013,,69.0565902578797,,,,,,,,
Faroe Islands,2012,,69.0565902578797,,,,,,,,
Faroe Islands,2011,,69.0565902578797,,,,,,,,
Faroe Islands,2010,,69.0508595988539,,,,,,,,
Faroe Islands,2009,,69.0616045845272,,,,,,,,
Faroe Islands,2008,,69.154011461318,,,,,,,,
Faroe Islands,2007,,69.154011461318,,,,,,,,
Faroe Islands,2006,,69.154011461318,,,,,,,,
Faroe Islands,2005,,69.154011461318,,,,,,,,
Faroe Islands,2004,,69.154011461318,,,,,,,,
Faroe Islands,2003,,69.154011461318,,,,,,,,
Faroe Islands,2002,,69.154011461318,,,,,,,,
Faroe Islands,2001,,69.1210601719198,,,,,,,,
Faroe Islands,2000,,69.1210601719198,,,,,,,,
Faroe Islands,1999,,69.1210601719198,,,,,,,,
Faroe Islands,1998,,69.1210601719198,,,,,,,,
Faroe Islands,1997,,69.1267908309456,,,,,,,,
Faroe Islands,1996,,69.1267908309456,,,,,,,,
Faroe Islands,1995,,69.1432664756447,,,,,,,,
Faroe Islands,1994,,69.1489971346705,,,,,,,,
Faroe Islands,1993,,69.1489971346705,,,,,,,,
Faroe Islands,1992,,69.1489971346705,,,,,,,,
Faroe Islands,1991,,69.1489971346705,,,,,,,,
Faroe Islands,1990,,69.1489971346705,,,,,,,,
Latvia,2020,,31.6406877711715,,,,,,,,
Latvia,2019,,31.4975814357112,,,,,,,,
Latvia,2018,,31.1440371542899,,,,,,,,
Latvia,2017,,31.0636861812397,,,,,,,,
Latvia,2016,,31.0315457920195,,,,,,,,
Latvia,2015,,30.2842817426519,,,,,,,,
Latvia,2014,,30.0834043100262,,,,,,,,
Latvia,2013,,30.1637552830765,,,,,,,,
Latvia,2012,,29.5852282771144,,,,,,,,
Latvia,2011,,29.183473411863,,,,,,,,
Latvia,2010,,29.0067012711524,,,,,,,,
Latvia,2009,,29.456666720234,,,,,,,,
Latvia,2008,,29.3281051633535,,,,,,,,
Latvia,2007,,29.5530878878943,,,,,,,,
Latvia,2006,,29.8102110016552,,,,,,,,
Latvia,2005,,27.8657174538384,,,,,,,,
Latvia,2004,,26.3872595497131,,,,,,,,
Latvia,2003,,25.4230478731097,,,,,,,,
Latvia,2002,,25.6319604030405,,,,,,,,
Latvia,2001,,25.4069776784997,,,,,,,,
Latvia,2000,,25.5194690407701,,,,,,,,
Latvia,1999,,25.9855046844617,,,,,,,,
Latvia,1998,,28.1067703729892,,,,,,,,
Latvia,1997,,28.4763848490205,,,,,,,,
Latvia,1996,,30.1155446992463,,,,,,,,
Latvia,1995,,29.4405965256239,,,,,,,,
Latvia,1994,,40.8182943095441,,,,,,,,
Latvia,1993,,40.4004692496826,,,,,,,,
Latvia,1992,,40.6575923634435,,,,,,,,
Latvia,1991,,,,,,,,,,
Latvia,1990,,,,,,,,,,
Paraguay,2020,,42.3084319154291,,,,,,,,
Paraguay,2019,,42.3084319154291,,,,,,,,
Paraguay,2018,,42.3033979360685,,,,,,,,
Paraguay,2017,,42.0919708029197,,,,,,,,
Paraguay,2016,,42.1196576894035,,,,,,,,
Paraguay,2015,,42.6331235841933,,,,,,,,
Paraguay,2014,,42.1171406997231,,,,,,,,
Paraguay,2013,,41.6665995469419,,,,,,,,
Paraguay,2012,,41.3544928265794,,,,,,,,
Paraguay,2011,,40.7554492826579,,,,,,,,
Paraguay,2010,,40.3854517996476,,,,,,,,
Paraguay,2009,,40.0783790586459,,,,,,,,
Paraguay,2008,,39.8241631009313,,,,,,,,
Paraguay,2007,,39.5800151019381,,,,,,,,
Paraguay,2006,,39.3534860307073,,,,,,,,
Paraguay,2005,,39.1269569594765,,,,,,,,
Paraguay,2004,,38.9004278882457,,,,,,,,
Paraguay,2003,,38.6738988170149,,,,,,,,
Paraguay,2002,,38.4926755600302,,,,,,,,
Paraguay,2001,,38.2208406745532,,,,,,,,
Paraguay,2000,,37.9943116033224,,,,,,,,
Paraguay,1999,,37.8105713566574,,,,,,,,
Paraguay,1998,,37.5563553989429,,,,,,,,
Paraguay,1997,,36.9245909891769,,,,,,,,
Paraguay,1996,,36.9245909891769,,,,,,,,
